City,latitude,longitude,Temperature,Humidity,Wind Speed,Cloudiness
guanica,15.315708071150425,-67.30633319420652,80.6,83.0,9.17,75.0
filingue,15.460038238728103,2.889007594063827,74.45,92.0,7.85,0.0
dangriga,16.489639903771703,-88.035007857355,86.0,79.0,8.05,75.0
biltine,16.80633595744858,22.60207048913918,68.06,97.0,5.73,48.0
pakxan,18.049330816497033,103.56299389085763,72.38,98.0,1.54,92.0
bilma,18.192134345928977,12.214585681224605,82.55,49.0,8.37,0.0
saint-francois,18.57430225519333,-54.03380270459394,68.0,88.0,3.36,0.0
kidal,18.674505902686903,2.7244176605206007,84.8,53.0,10.87,8.0
xico,19.291827980865904,-98.98941041962627,63.83,69.0,3.27,76.0
faya,19.41191849098523,17.274875360436,64.35,59.0,4.5,0.0
nouadhibou,19.633298889638226,-20.379742966750854,68.0,94.0,5.82,75.0
qiongshan,19.690485805712413,110.42576967363345,84.2,89.0,6.71,40.0
nimaparha,19.882820306536033,86.04010688661327,78.68,100.0,9.08,68.0
kapaa,20.0135661598203,-172.18178320472646,86.16,66.0,18.34,75.0
basco,20.12555706209642,124.97048108926168,78.13,74.0,5.82,1.0
umred,20.768180071552237,79.38772058595339,75.2,94.0,4.7,90.0
akot,20.97484446721988,77.11118885887794,73.28,97.0,5.79,92.0
riyadh,21.006458816500654,47.35448633733819,93.2,10.0,8.05,0.0
atar,21.096364834568377,-14.351500160029218,90.2,37.0,8.59,8.0
bhadrak,21.26994874425712,86.42755714569779,75.44,99.0,6.02,92.0
yago,21.772637388183057,-105.10725612486472,68.0,100.0,4.7,90.0
samana,22.116313246644424,-67.21900774788762,70.4,98.0,2.21,80.0
nizwa,22.43983777663327,57.933752198155446,82.64,22.0,1.7,80.0
katsuura,22.766851286810805,149.51168580878993,80.6,61.0,3.36,75.0
taoudenni,22.95480479533235,-8.697645506414347,83.0,49.0,3.71,48.0
yuli,23.022665328985013,121.9522834670305,70.94,91.0,5.84,32.0
nishihara,23.545866176386554,130.5212428759309,73.89,88.0,18.34,90.0
jaisinghnagar,23.82301436369879,81.31484034407276,71.84,99.0,6.62,92.0
aswan,24.01148804468437,31.628048456575442,87.8,23.0,3.36,0.0
dali,24.367955016104503,100.42961300902738,61.13,100.0,1.99,88.0
suket,24.552060389382902,76.04027507539831,74.72,97.0,4.0,92.0
naze,24.695759401101498,136.50680419829382,73.4,100.0,3.36,75.0
progreso,24.740076182829966,-89.85689287709644,59.0,67.0,9.17,0.0
sanchor,25.04798294138365,71.91369018190903,79.94,74.0,8.3,68.0
gat,25.202429039405416,6.446418949744526,80.6,74.0,2.24,24.0
sabha,25.55809524968005,17.05730675834397,81.47,22.0,5.5,0.0
mandal,25.566575197864267,74.58764674493966,58.61,77.0,3.78,12.0
khor,25.615771139308194,52.71962336549288,72.38,69.0,5.57,36.0
guilin,25.7487706438296,109.37902816905324,78.8,88.0,4.47,75.0
awjilah,25.77613237065887,19.346008524789198,90.47,31.0,12.77,0.0
asyut,25.96149000557911,28.001305294594886,80.6,54.0,13.87,0.0
tonk,26.08775070780632,75.90598621223907,74.72,98.0,2.55,92.0
galveston,26.409336230584657,-93.05103410665075,74.32,94.0,4.7,90.0
hanyang,27.195838754739924,120.0403545241976,74.54,88.0,2.71,68.0
awbari,27.346601776605837,11.961404110549921,90.38,14.0,3.11,92.0
codrington,27.416529122302748,-45.344863875952,57.17,66.0,3.49,0.0
adrar,27.59627828362717,-3.95616408289132,93.2,20.0,6.93,0.0
lompoc,28.000998159908008,-127.95882369120011,72.39,27.0,10.29,1.0
lakeland,28.019985501400612,-81.9278302717117,82.04,74.0,10.29,75.0
bushehr,28.294339920998212,50.34446520340123,92.27,51.0,13.33,32.0
ziro,28.311260677435016,93.4724887756513,66.44,95.0,1.88,64.0
gasa,28.410987113572048,89.27747234946293,27.74,88.0,1.7,24.0
tiznit,28.824738607832757,-8.595202109706122,70.04,88.0,2.33,0.0
tateyama,28.98693596293522,142.14873996615626,75.2,88.0,5.82,75.0
shingu,28.991643278288052,136.2989594757516,82.4,65.0,14.99,40.0
nalut,29.04213076685646,9.755244001392697,76.07,66.0,6.35,0.0
hilo,29.183806624898267,-139.45493020894995,79.36,65.0,11.41,90.0
shenjiamen,29.311938724225655,123.77948765869479,82.46,95.0,3.83,32.0
pecos,30.99216929953593,-103.12646526428756,99.32,19.0,9.17,1.0
pokhara,31.575990102450405,85.53307424469756,60.68,66.0,3.6,20.0
savannah,32.06958148669379,-81.03663394230416,84.2,70.0,4.7,1.0
nador,32.07303346571284,-1.3999339988550332,74.95,73.0,1.12,24.0
darnah,32.24359895093522,22.957217060025016,81.65,95.0,4.05,0.0
tanabe,32.34875767444463,135.6685236986466,82.4,65.0,14.99,40.0
brownwood,32.36221529472117,-98.86448135017012,95.86,28.0,12.75,20.0
thomaston,32.50270475668337,-84.49646153840992,74.39,88.0,3.04,1.0
lasa,32.558534346295275,90.6856601432604,78.15,88.0,4.7,20.0
hanzhong,32.70125154083162,107.71334244815012,71.03,98.0,3.27,76.0
torbay,32.81641876693399,-47.90545075552336,68.0,88.0,6.93,40.0
danjiangkou,33.09523961322884,111.5735059087242,81.02,95.0,2.89,32.0
huilong,33.278549023988916,123.2804145672174,78.5,87.0,2.71,0.0
tabas,33.297853144716186,56.74208204488747,74.72,34.0,4.56,0.0
sanmenxia,33.74976855407708,110.89829304104182,81.92,79.0,3.38,0.0
vernon,33.883634155671885,-100.40447687219027,91.4,22.0,17.22,1.0
yabrud,33.89786329319128,38.289783305607045,69.8,77.0,20.8,0.0
bozhou,34.04640161245645,115.68786255551151,87.68,84.0,5.06,56.0
innoshima,34.2135261233868,133.39975120294275,80.6,39.0,5.82,40.0
jumla,34.26524585607204,85.96141847441538,38.09,90.0,3.04,32.0
semnan,34.35179177219622,54.15337023553221,77.96,50.0,5.06,44.0
salamiyah,35.01427153132201,37.947671318820966,67.07,91.0,11.1,0.0
hasaki,35.06018760289467,145.7525216083488,74.28,100.0,19.46,90.0
houma,35.72312638865512,111.17326068732228,79.4,81.0,3.22,32.0
algiers,36.2700411745823,3.5304399816030525,83.52,83.0,3.36,1.0
severo-kurilsk,36.44857239202305,164.04769543835033,54.65,94.0,3.56,56.0
ridgecrest,36.470242940075536,-117.20595026471848,109.4,3.0,8.05,1.0
arrifes,36.490638441257545,-27.144053533628266,68.0,82.0,7.58,75.0
nantucket,36.50235535627159,-68.74316565833652,75.96,94.0,16.11,40.0
enid,36.74814726094071,-98.51766434135185,91.4,46.0,8.05,40.0
kahului,36.904125326158095,-148.88479474845892,84.65,58.0,20.8,40.0
kumluca,36.971052035897216,29.972773188222845,57.89,86.0,1.88,0.0
archidona,37.05914208159126,-4.292823563461781,58.97,100.0,2.48,92.0
wuwei,37.16237346710497,103.09667629634777,61.22,86.0,4.12,0.0
lorca,37.83137452666692,-1.8651785294034937,66.08,86.0,2.48,32.0
