,Sentiment Points,BBC Compound Sentiment,BBC Positive Sentiment,BBC Negative Sentiment,BBC Neutral Sentiment,CBS Compound Sentiment,CBS Positive Sentiment,CBS Negative Sentiment,CBS Neutral Sentiment,CNN Compound Sentiment,CNN Positive Sentiment,CNN Negative Sentiment,CNN Neutral Sentiment,Fox Compound Sentiment,Fox Positive Sentiment,Fox Negative Sentiment,Fox Neutral Sentiment,@nytimes Compound Sentiment,@nytimes Positive Sentiment,@nytimes Negative Sentiment,@nytimes Neutral Sentiment
70,70,-0.4767,0.0,0.205,0.795,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.3818,0.135,0.0,0.865,-0.5267,0.0,0.145,0.855
71,71,-0.7096,0.081,0.279,0.64,0.0,0.0,0.0,1.0,-0.0516,0.113,0.121,0.766,0.3612,0.246,0.156,0.599,0.3612,0.122,0.0,0.878
72,72,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.3818,0.157,0.0,0.843,0.8221,0.559,0.0,0.441,0.4939,0.198,0.0,0.802
73,73,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8883,0.742,0.0,0.258,0.0,0.0,0.0,1.0
74,74,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0459,0.12,0.16,0.72,-0.802,0.0,0.339,0.661
75,75,0.4588,0.231,0.0,0.769,0.0,0.0,0.0,1.0,0.4019,0.124,0.0,0.876,-0.128,0.0,0.07,0.93,-0.296,0.0,0.091,0.909
76,76,-0.296,0.0,0.099,0.901,0.0,0.0,0.0,1.0,0.2732,0.146,0.103,0.751,-0.1027,0.072,0.088,0.84,0.0,0.0,0.0,1.0
77,77,-0.4215,0.0,0.128,0.872,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4215,0.483,0.0,0.517,-0.3182,0.089,0.139,0.772
78,78,-0.25,0.0,0.182,0.818,0.0,0.0,0.0,1.0,0.5719,0.222,0.0,0.778,0.5267,0.29,0.073,0.637,0.0,0.0,0.0,1.0
79,79,0.5719,0.425,0.0,0.575,0.0,0.0,0.0,1.0,0.4215,0.167,0.0,0.833,-0.5267,0.095,0.261,0.644,0.0,0.0,0.0,1.0
80,80,-0.6369,0.0,0.318,0.682,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.3612,0.0,0.102,0.898,-0.34,0.0,0.167,0.833
81,81,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.128,0.081,0.0,0.919,0.0,0.0,0.0,1.0,0.015,0.11,0.108,0.782
82,82,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.4588,0.0,0.19,0.81,-0.6249,0.0,0.157,0.843,0.3182,0.099,0.0,0.901
83,83,0.1779,0.137,0.104,0.758,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.7506,0.0,0.33,0.67
84,84,-0.509,0.0,0.171,0.829,0.0,0.0,0.0,1.0,-0.5859,0.0,0.192,0.808,0.4404,0.146,0.0,0.854,0.0,0.0,0.0,1.0
85,85,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.109,0.109,0.783,0.4389,0.153,0.0,0.847
86,86,0.5859,0.211,0.0,0.789,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7397,0.294,0.0,0.706,-0.296,0.09,0.141,0.769
87,87,0.6114,0.266,0.0,0.734,0.0,0.0,0.0,1.0,-0.1779,0.0,0.108,0.892,0.7717,0.211,0.0,0.789,0.0,0.0,0.0,1.0
88,88,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0701,0.114,0.103,0.783,0.0,0.0,0.0,1.0
89,89,0.0,0.0,0.0,1.0,0.807,0.3,0.0,0.7,0.0,0.0,0.0,1.0,0.5719,0.155,0.053,0.792,-0.7845,0.068,0.291,0.642
90,90,-0.5423,0.0,0.137,0.863,0.1139,0.078,0.0,0.922,0.4404,0.182,0.0,0.818,0.2023,0.076,0.0,0.924,-0.3182,0.0,0.099,0.901
91,91,0.6369,0.208,0.0,0.792,-0.4404,0.0,0.132,0.868,0.0,0.0,0.0,1.0,0.2732,0.231,0.0,0.769,0.2263,0.206,0.132,0.661
92,92,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5574,0.235,0.0,0.765,-0.296,0.0,0.099,0.901
93,93,0.5859,0.192,0.0,0.808,0.6514,0.282,0.0,0.718,0.34,0.13,0.0,0.87,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
94,94,0.0,0.0,0.0,1.0,0.5562,0.174,0.0,0.826,-0.8316,0.0,0.494,0.506,0.8588,0.333,0.0,0.667,-0.296,0.0,0.121,0.879
95,95,0.0,0.0,0.0,1.0,0.5411,0.143,0.0,0.857,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
96,96,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.4215,0.0,0.352,0.648,0.4481,0.188,0.0,0.812,0.2006,0.079,0.0,0.921
97,97,0.765,0.266,0.0,0.734,-0.3818,0.0,0.106,0.894,0.296,0.091,0.0,0.909,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
98,98,0.636,0.208,0.0,0.792,0.3182,0.103,0.0,0.897,-0.6124,0.0,0.167,0.833,0.5574,0.223,0.0,0.777,0.0,0.0,0.0,1.0
99,99,0.0,0.0,0.0,1.0,0.4019,0.153,0.0,0.847,0.0,0.0,0.0,1.0,0.9,0.555,0.0,0.445,0.6369,0.208,0.0,0.792
